Rank,Region Operation,State,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
1,Southern,Georgia,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,50251964,50501858,-0.49%
2,Western Pacific,California,LAX,Los Angeles,Los Angeles International,P,L,41232432,39636042,4.03%
3,Great Lakes,Illinois,ORD,Chicago,Chicago O'Hare International,P,L,38593028,37589899,2.67%
4,Southwest,Texas,DFW,Fort Worth,Dallas-Fort Worth International,P,L,31816933,31283579,1.70%
5,Northwest Mountain,Colorado,DEN,Denver,Denver International,P,L,29809097,28267394,5.45%
6,Eastern,New York,JFK,New York,John F Kennedy International,P,L,29533154,29239151,1.01%
7,Western Pacific,California,SFO,San Francisco International Airport,San Francisco International,P,L,26900048,25707101,4.64%
8,Western Pacific,Nevada,LAS,Las Vegas,McCarran International,P,L,23364393,22833267,2.33%
9,Northwest Mountain,Washington,SEA,Seattle,Seattle-Tacoma International,P,L,22639124,21887110,3.44%
10,Southern,North Carolina,CLT,Charlotte,Charlotte/Douglas International,P,L,22011251,21511880,2.32%
11,Eastern,New Jersey,EWR,Newark,Newark Liberty International,P,L,21571198,19923009,8.27%
12,Southern,Florida,MCO,Orlando,Orlando International,P,L,21565448,20283541,6.32%
13,Western Pacific,Arizona,PHX,Phoenix,Phoenix Sky Harbor International,P,L,21185458,20896265,1.38%
14,Southern,Florida,MIA,Miami,Miami International,P,L,20709225,20875813,-0.80%
15,Southwest,Texas,IAH,Houston,George Bush Intercontinental/Houston,P,L,19603731,20062072,-2.28%
16,New England,Massachusetts,BOS,Boston,General Edward Lawrence Logan International,P,L,18759742,17759044,5.63%
17,Great Lakes,Minnesota,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,18409704,18123844,1.58%
18,Great Lakes,Michigan,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,17036092,16847135,1.12%
19,Southern,Florida,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,15817043,14263270,10.89%
20,Eastern,New York,LGA,New York,Laguardia,P,L,14614802,14762593,-1.00%
21,Eastern,Pennsylvania,PHL,Philadelphia,Philadelphia International,P,L,14271243,14564419,-2.01%
22,Eastern,Maryland,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,12976554,12340972,5.15%
23,Northwest Mountain,Utah,SLC,Salt Lake City,Salt Lake City International,P,L,11615954,11143738,4.24%
24,Eastern,Virginia,DCA,Arlington,Ronald Reagan Washington National,P,L,11506310,11470854,0.31%
25,Western Pacific,California,SAN,San Diego,San Diego International,P,L,11139933,10340164,7.73%
26,Eastern,Virginia,IAD,Dulles,Washington Dulles International,P,L,11024306,10596942,4.03%
27,Great Lakes,Illinois,MDW,Chicago,Chicago Midway International,P,L,10912074,11044387,-1.20%
28,Western Pacific,Hawaii,HNL,Honolulu,Daniel K Inouye International,P,L,9743989,9656340,0.91%
29,Southern,Florida,TPA,Tampa,Tampa International,P,L,9548580,9194994,3.85%
30,Northwest Mountain,Oregon,PDX,Portland,Portland International,P,L,9435473,9071154,4.02%
31,Southwest,Texas,DAL,Dallas,Dallas Love Field,P,M,7593361,7554596,0.51%
32,Central,Missouri,STL,St. Louis,St Louis Lambert International,P,M,7194745,6793076,5.91%
33,Southern,Tennessee,BNA,Nashville,Nashville International,P,M,6902771,6338517,8.90%
34,Southwest,Texas,AUS,Austin,Austin-Bergstrom International,P,M,6813171,6095545,11.77%
35,Southwest,Texas,HOU,Houston,William P Hobby,P,M,6538976,6285181,4.04%
36,Western Pacific,California,OAK,Oakland,Metropolitan Oakland International,P,M,6413842,5934639,8.07%
37,Western Pacific,California,SJC,San Jose,Norman Y Mineta San Jose International,P,M,6130878,5321603,15.21%
38,Southwest,Louisiana,MSY,Metairie,Louis Armstrong New Orleans International,P,M,6022318,5569705,8.13%
39,Southern,North Carolina,RDU,Raleigh,Raleigh-Durham International,P,M,5692659,5401714,5.39%
40,Central,Missouri,MCI,Kansas City,Kansas City International,P,M,5628581,5391557,4.40%
41,Western Pacific,California,SMF,Sacramento,Sacramento International,P,M,5341595,4969366,7.49%
42,Western Pacific,California,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,5082716,5217242,-2.58%
43,Great Lakes,Ohio,CLE,Cleveland,Cleveland-Hopkins International,P,M,4446555,4083476,8.89%
44,Southwest,Texas,SAT,San Antonio,San Antonio International,P,M,4382127,4179994,4.84%
45,Southern,Florida,RSW,Fort Myers,Southwest Florida International,P,M,4364224,4239261,2.95%
46,Great Lakes,Indiana,IND,Indianapolis,Indianapolis International,P,M,4343722,4216766,3.01%
47,Eastern,Pennsylvania,PIT,Pittsburgh,Pittsburgh International,P,M,4327434,3986114,8.56%
48,Southern,Puerto Rico,SJU,San Juan,Luis Munoz Marin International,P,M,4203766,4343354,-3.21%
49,Southern,Kentucky,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,3791989,3269979,15.96%
50,Great Lakes,Ohio,CMH,Columbus,John Glenn Columbus International,P,M,3689570,3567864,3.41%
51,Western Pacific,Hawaii,OGG,Kahului,Kahului,P,M,3442189,3352813,2.67%
52,Great Lakes,Wisconsin,MKE,Milwaukee,General Mitchell International,P,M,3414477,3327536,2.61%
53,New England,Connecticut,BDL,Windsor Locks,Bradley International,P,M,3164647,2982194,6.12%
54,Southern,Florida,PBI,West Palm Beach,Palm Beach International,P,M,3110450,3100624,0.32%
55,Southern,Florida,JAX,Jacksonville,Jacksonville International,P,M,2701861,2729129,-1.00%
56,Alaskan,Alaska,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2556191,2563524,-0.29%
57,Southwest,New Mexico,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2412328,2341719,3.02%
58,Western Pacific,California,BUR,Burbank,Bob Hope,P,M,2402106,2077892,15.60%
59,Eastern,New York,BUF,Buffalo,Buffalo Niagara International,P,M,2348512,2313724,1.50%
60,Western Pacific,California,ONT,Ontario,Ontario International,P,M,2247645,2104625,6.80%
61,Central,Nebraska,OMA,Omaha,Eppley Airfield,P,M,2243658,2127387,5.47%
62,Southern,Tennessee,MEM,Memphis,Memphis International,P,S,2102739,2016089,4.30%
63,Western Pacific,Nevada,RNO,Reno,Reno/Tahoe International,P,S,1953028,1771864,10.22%
64,Southern,South Carolina,CHS,Charleston,Charleston AFB/International,P,S,1945699,1811695,7.40%
65,New England,Rhode Island,PVD,Warwick,Theodore Francis Green State,P,S,1940806,1803000,7.64%
66,Southwest,Oklahoma,OKC,Oklahoma City,Will Rogers World,P,S,1894289,1796473,5.44%
67,Western Pacific,California,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1830745,1386357,32.05%
68,Eastern,Virginia,RIC,Highland Springs,Richmond International,P,S,1822486,1777648,2.52%
69,Northwest Mountain,Idaho,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1777642,1633507,8.82%
70,Western Pacific,Hawaii,KOA,Kailua Kona,Ellison Onizuka Kona International at Keahole,P,S,1764995,1569602,12.45%
71,Northwest Mountain,Washington,GEG,Spokane,Spokane International,P,S,1698433,1570652,8.14%
72,Eastern,Virginia,ORF,Norfolk,Norfolk International,P,S,1694329,1602631,5.72%
73,Southern,Kentucky,SDF,Louisville,Louisville International-Standiford Field,P,S,1684738,1631494,3.26%
74,Western Pacific,Arizona,TUS,Tucson,Tucson International,P,S,1669928,1594594,4.72%
75,Western Pacific,Guam,GUM,Tamuning,Guam International,P,S,1566429,1444299,8.46%
76,Western Pacific,Hawaii,LIH,Lihue,Lihue,P,S,1535075,1458940,5.22%
77,Southwest,Texas,ELP,El Paso,El Paso International,P,S,1450115,1414376,2.53%
78,Southern,Florida,SFB,Sanford,Orlando Sanford International,P,S,1434990,1341699,6.95%
79,Great Lakes,Michigan,GRR,Grand Rapids,Gerald R Ford International,P,S,1412132,1334979,5.78%
80,Eastern,New York,ALB,Albany,Albany International,P,S,1393666,1388860,0.35%
81,Southwest,Oklahoma,TUL,Tulsa,Tulsa International,P,S,1374424,1342315,2.39%
82,Southern,Alabama,BHM,Birmingham,Birmingham-Shuttlesworth International,P,S,1333967,1304467,2.26%
83,Central,Iowa,DSM,Des Moines,Des Moines International,P,S,1257521,1216357,3.38%
84,Eastern,New York,ROC,Rochester,Greater Rochester International,P,S,1205774,1186002,1.67%
85,Southern,Georgia,SAV,Savannah,Savannah/Hilton Head International,P,S,1192340,1056265,12.88%
86,Southern,South Carolina,MYR,Myrtle Beach,Myrtle Beach International,P,S,1131959,944849,19.80%
87,Western Pacific,California,PSP,Palm Springs,Palm Springs International,P,S,1055970,995801,6.04%
88,Southern,South Carolina,GSP,Greer,Greenville Spartanburg International,P,S,1051089,991276,6.03%
89,Southern,Florida,PIE,Clearwater,St Pete-Clearwater International,P,S,1023471,915672,11.77%
90,Eastern,New York,SYR,Syracuse,Syracuse Hancock International,P,S,1013149,988496,2.49%
91,Southwest,Arkansas,LIT,Little Rock,Bill and Hillary Clinton National/Adams Field,P,S,979530,958824,2.16%
92,New England,New Hampshire,MHT,Manchester,Manchester,P,S,969229,995403,-2.63%
93,Southern,Tennessee,TYS,Alcoa,McGhee Tyson,P,S,963752,887103,8.64%
94,Great Lakes,Wisconsin,MSN,Madison,Dane County Regional-Truax Field,P,S,943363,903155,4.45%
95,Great Lakes,Ohio,DAY,Dayton,James M Cox Dayton International,P,S,935373,1019922,-8.29%
96,New England,Maine,PWM,Portland,Portland International Jetport,P,S,925903,886343,4.46%
97,Southern,North Carolina,GSO,Greensboro,Piedmont Triad International,P,S,881024,848261,3.86%
98,Southern,Florida,PNS,Pensacola,Pensacola International,P,S,839248,792916,5.84%
99,Northwest Mountain,Colorado,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,815839,657694,24.05%
100,Central,Kansas,ICT,Wichita,Wichita Dwight D Eisenhower National,P,S,789533,781944,0.97%
101,Eastern,New York,HPN,White Plains,Westchester County,P,S,759334,766170,-0.89%
102,Western Pacific,California,FAT,Fresno,Fresno Yosemite International,P,S,755140,761298,-0.81%
103,Western Pacific,Arizona,IWA,Mesa,Phoenix-Mesa Gateway,P,S,704247,705731,-0.21%
104,Southwest,Arkansas,XNA,Bentonville,Northwest Arkansas Regional,P,S,698257,673810,3.63%
105,Western Pacific,Northern Marina Islands,GSN,Saipan,Francisco C Ada/Saipan International,P,S,685642,430275,59.35%
106,Western Pacific,Hawaii,ITO,Hilo,Hilo International,P,S,664790,640757,3.75%
107,Eastern,New York,ISP,Islip,Long Island MacArthur,P,S,648593,597133,8.62%
108,Southern,Florida,PGD,Punta Gorda,Punta Gorda,P,S,643563,558482,15.23%
109,Southern,Kentucky,LEX,Lexington,Blue Grass,P,S,637301,638316,-0.16%
110,Southern,Virgin Islands,STT,Charlotte Amalie,Cyril E King,P,S,619729,729382,-15.03%
111,Great Lakes,Ohio,CAK,Akron,Akron-Canton Regional,P,S,619321,685553,-9.66%
112,Northwest Mountain,Montana,BZN,Bozeman,Bozeman Yellowstone International,P,S,598712,553245,8.22%
113,Southern,Florida,SRQ,Sarasota,Sarasota/Bradenton International,P,S,590941,589860,0.18%
114,Eastern,Pennsylvania,MDT,Harrisburg,Harrisburg International,P,S,582291,589511,-1.22%
115,New England,Vermont,BTV,Burlington,Burlington International,P,S,578014,593311,-2.58%
116,Central,Iowa,CID,Cedar Rapids,The Eastern Iowa,P,S,574636,547786,4.90%
117,Southern,Florida,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,S,567633,440002,29.01%
118,Eastern,New Jersey,ACY,Atlantic City,Atlantic City International,P,S,552690,589091,-6.18%
119,Alaskan,Alaska,FAI,Fairbanks,Fairbanks International,P,S,543839,538881,0.92%
120,Great Lakes,South Dakota,FSD,Sioux Falls,Joe Foss Field,P,S,540877,510105,6.03%
121,Northwest Mountain,Oregon,EUG,Eugene,Mahlon Sweet Field,P,S,529149,483224,9.50%
122,Southern,Alabama,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,519003,527801,-1.67%
123,Southwest,Texas,MAF,Midland,Midland International Air And Space Port,P,S,516983,471490,9.65%
124,Southern,South Carolina,CAE,Columbia,Columbia Metropolitan,P,S,510188,553658,-7.85%
125,Central,Missouri,SGF,Springfield,Springfield-Branson National,P,S,483259,462126,4.57%
126,Southern,Tennessee,CHA,Chattanooga,Lovell Field,P,S,482113,422442,14.13%
127,Southern,North Carolina,AVL,Asheville,Asheville Regional,P,S,478061,416939,14.66%
128,Southern,Mississippi,JAN,Jackson,Jackson-Medgar Wiley Evers International,P,S,462655,491464,-5.86%
129,Southwest,Texas,LBB,Lubbock,Lubbock Preston Smith International,P,S,460236,448093,2.71%
130,Southern,Florida,ECP,Panama City,Northwest Florida Beaches International,P,S,454712,434302,4.70%
131,Northwest Mountain,Oregon,MFR,Medford,Rogue Valley International - Medford,P,S,440506,401469,9.72%
132,Southern,North Carolina,ILM,Wilmington,Wilmington International,P,N,422553,413185,2.27%
133,Alaskan,Alaska,JNU,Juneau,Juneau International,P,N,422266,420442,0.43%
134,Northwest Mountain,Montana,BIL,Billings,Billings Logan International,P,N,415093,423213,-1.92%
135,Great Lakes,North Dakota,FAR,Fargo,Hector International,P,N,404937,402976,0.49%
136,Great Lakes,Michigan,FNT,Flint,Bishop International,P,N,393549,398508,-1.24%
137,Southern,Florida,EYW,Key West,Key West International,P,N,392381,380505,3.12%
138,Northwest Mountain,Montana,MSO,Missoula,Missoula International,P,N,387976,381582,1.68%
139,Southwest,Louisiana,BTR,Baton Rouge,"Baton Rouge Metropolitan, Ryan Field",P,N,377670,364200,3.70%
140,Northwest Mountain,Washington,PSC,Pasco,Tri-Cities,P,N,376044,374301,0.47%
141,Northwest Mountain,Washington,BLI,Bellingham,Bellingham International,P,N,370022,415285,-10.90%
142,Northwest Mountain,Oregon,RDM,Redmond,Roberts Field,P,N,364921,306517,19.05%
143,Eastern,New Jersey,TTN,Trenton,Trenton Mercer,P,N,363654,278436,30.61%
144,Great Lakes,Indiana,FWA,Fort Wayne,Fort Wayne International,P,N,359658,360369,-0.20%
145,Western Pacific,California,SBA,Santa Barbara,Santa Barbara Municipal,P,N,356608,329751,8.14%
146,Southern,Florida,TLH,Tallahassee,Tallahassee International,P,N,350174,345404,1.38%
147,Southern,Florida,DAB,Daytona Beach,Daytona Beach International,P,N,346470,342495,1.16%
148,Northwest Mountain,Wyoming,JAC,Jackson,Jackson Hole,P,N,341662,342044,-0.11%
149,Southwest,Texas,MFE,McAllen,McAllen Miller International,P,N,336431,355224,-5.29%
150,Western Pacific,Arizona,GCN,Grand Canyon,Grand Canyon National Park,P,N,336255,319206,5.34%
151,Great Lakes,Illinois,MLI,Moline,Quad City International,P,N,335940,364393,-7.81%
152,Southwest,Texas,AMA,Amarillo,Rick Husband Amarillo International,P,N,334563,334815,-0.08%
153,Eastern,Virginia,CHO,Charlottesville-Albemarle Airport,Charlottesville-Albemarle,P,N,334347,295930,12.98%
154,Eastern,Pennsylvania,ABE,Allentown,Lehigh Valley International,P,N,328914,324511,1.36%
155,Southern,Mississippi,GPT,Gulfport,Gulfport-Biloxi International,P,N,324611,305157,6.38%
156,Southwest,Texas,CRP,Corpus Christi,Corpus Christi International,P,N,320263,325815,-1.70%
157,Great Lakes,Illinois,PIA,Peoria,General Downing - Peoria International,P,N,312378,307189,1.69%
158,Eastern,Virginia,ROA,Roanoke,Roanoke-Blacksburg Regional/Woodrum Field,P,N,309341,305212,1.35%
159,Great Lakes,Indiana,SBN,South Bend,South Bend International,P,N,307471,329957,-6.81%
160,New England,Maine,BGR,Bangor,Bangor International,P,N,302224,269013,12.35%
161,Southern,Georgia,AGS,Augusta,Augusta Regional at Bush Field,P,N,288834,270797,6.66%
162,Southern,Alabama,MOB,Mobile,Mobile Regional,P,N,288222,288209,0.00%
163,Great Lakes,South Dakota,RAP,Rapid City,Rapid City Regional,P,N,286567,272537,5.15%
164,Great Lakes,Wisconsin,GRB,Green Bay,Green Bay-Austin Straubel International,P,N,283823,292868,-3.09%
165,Great Lakes,Wisconsin,ATW,Appleton,Appleton International,P,N,281552,270633,4.03%
166,Great Lakes,North Dakota,BIS,Bismarck,Bismarck Municipal,P,N,275098,273980,0.41%
167,Southwest,Texas,HRL,Harlingen,Valley International,P,N,273070,263760,3.53%
168,Northwest Mountain,Montana,GPI,Kalispell,Glacier Park International,P,N,272279,247816,9.87%
169,Southwest,Louisiana,SHV,Shreveport,Shreveport Regional,P,N,267646,270395,-1.02%
170,Eastern,Pennsylvania,AVP,Avoca,Wilkes-Barre/Scranton International,P,N,261572,232855,12.33%
171,Western Pacific,Arizona,1G4,Peach Springs,Grand Canyon West,P,N,258038,128739,100.43%
172,Southern,Puerto Rico,BQN,Aguadilla,Rafael Hernandez,P,N,252693,257871,-2.01%
173,Northwest Mountain,Colorado,ASE,Aspen,Aspen-Pitkin County/Sardy Field,P,N,244808,254392,-3.77%
174,Southern,North Carolina,FAY,Fayetteville,Fayetteville Regional/Grannis Field,P,N,238568,224541,6.25%
175,Great Lakes,Michigan,TVC,Traverse City,Cherry Capital,P,N,235137,223924,5.01%
176,Eastern,New York,SWF,Newburgh,Stewart International,P,N,228640,140328,62.93%
177,Northwest Mountain,Colorado,GJT,Grand Junction,Grand Junction Regional,P,N,223452,218319,2.35%
178,Southern,Florida,MLB,Melbourne,Melbourne International,P,N,221928,220360,0.71%
179,Western Pacific,Nevada,BVU,Boulder City,Boulder City Municipal,P,N,220980,211615,4.43%
180,Southern,Florida,GNV,Gainesville,Gainesville Regional,P,N,218578,206330,5.94%
181,Great Lakes,Indiana,EVV,Evansville,Evansville Regional,P,N,213205,204352,4.33%
182,Eastern,West Virginia,CRW,Charleston,Yeager,P,N,202778,213412,-4.98%
183,Southwest,Louisiana,LFT,Lafayette,Lafayette Regional/Paul Fournet Field,P,N,202640,206667,-1.95%
184,Eastern,Virginia,PHF,Newport News,Newport News/Williamsburg International,P,N,197994,199421,-0.72%
185,Western Pacific,California,SBP,San Luis Obispo,San Luis County Regional,P,N,197594,162719,21.43%
186,Western Pacific,California,MRY,Monterey,Monterey Regional,P,N,197099,192136,2.58%
187,Great Lakes,Michigan,LAN,Clinton (Township of),Capital Region International,P,N,196617,161863,21.47%
188,Southern,Virgin Islands,STX,Christiansted,Henry E Rohlsen,P,N,195634,196047,-0.21%
189,Western Pacific,California,STS,Santa Rosa,Charles M Schulz - Sonoma County,P,N,195296,167151,16.84%
190,Southern,Tennessee,TRI,Bristol/Johnson/Kingsport,Tri-Cities,P,N,193068,204926,-5.79%
191,Northwest Mountain,Colorado,DRO,Durango,Durango-La Plata County,P,N,186917,187789,-0.46%
192,Northwest Mountain,Montana,GTF,Great Falls,Great Falls International,P,N,171049,176730,-3.21%
193,Great Lakes,Illinois,BMI,Bloomington-Normal Airport,Central IL Regional Airport at Bloomington-Normal,P,N,163475,188490,-13.27%
194,Southwest,Louisiana,AEX,Alexandria,Alexandria International,P,N,156145,129776,20.32%
195,Southern,North Carolina,OAJ,Jacksonville,Albert J Ellis,P,N,155342,149987,3.57%
196,Southwest,Texas,GRK,Killeen,Robert Gray AAF,P,N,154951,157161,-1.41%
197,Northwest Mountain,Colorado,EGE,Eagle,Eagle County Regional,P,N,154577,163840,-5.65%
198,Central,Nebraska,LNK,Lincoln,Lincoln,P,N,154465,162876,-5.16%
199,Southern,Alabama,MGM,Montgomery,Montgomery Regional (Dannelly Field),P,N,152773,173210,-11.80%
200,Eastern,Pennsylvania,LBE,Latrobe,Arnold Palmer Regional,P,N,151207,146127,3.48%
201,Northwest Mountain,Idaho,IDA,Idaho Falls,Idaho Falls Regional,P,N,147729,146213,1.04%
202,Alaskan,Alaska,BET,Bethel,Bethel,P,N,146652,155791,-5.87%
203,Great Lakes,Michigan,AZO,Kalamazoo,Kalamazoo/Battle Creek International,P,N,146314,154242,-5.14%
204,Great Lakes,Minnesota,RST,Rochester,Rochester International,P,N,143675,112864,27.30%
205,Eastern,New York,IAG,Niagara Falls,Niagara Falls International,P,N,142605,126028,13.15%
206,Great Lakes,North Dakota,MOT,Minot,Minot International,P,N,141161,150634,-6.29%
207,Eastern,New York,PBG,Plattsburgh,Plattsburgh International,P,N,139398,129622,7.54%
208,Eastern,Pennsylvania,UNV,State College,University Park,P,N,138423,134312,3.06%
209,Great Lakes,Ohio,LCK,Columbus,Rickenbacker International,P,N,133649,102751,30.07%
210,Alaskan,Alaska,KTN,Ketchikan,Ketchikan International,P,N,131144,127881,2.55%
211,Western Pacific,Arizona,IFP,Bullhead City,Laughlin/Bullhead International,P,N,129949,109334,18.86%
212,Southern,North Carolina,JQF,Concord,Concord Regional,P,N,129034,90338,42.83%
213,Eastern,New York,ELM,Elmira,Elmira/Corning Regional,P,N,126472,139583,-9.39%
214,Great Lakes,Illinois,BLV,Belleville,Scott AFB/Midamerica,P,N,123841,79988,54.82%
215,Northwest Mountain,Colorado,MTJ,Montrose,Montrose Regional,P,N,123206,116272,5.96%
216,Great Lakes,Minnesota,DLH,Duluth,Duluth International,P,N,122726,124284,-1.25%
217,Great Lakes,North Dakota,GFK,Grand Forks,Grand Forks International,P,N,117520,132557,-11.34%
218,Great Lakes,Wisconsin,CWA,Mosinee,Central Wisconsin,P,N,116404,119222,-2.36%
219,Southwest,Texas,BRO,Brownsville,Brownsville/South Padre Island International,P,N,116197,120151,-3.29%
220,New England,Massachusetts,ACK,Nantucket,Nantucket Memorial,P,N,113009,126197,-10.45%
221,Great Lakes,Illinois,RFD,Rockford,Chicago/Rockford International,P,N,112862,101790,10.88%
222,Southern,North Carolina,EWN,New Bern,Coastal Carolina Regional,P,N,111147,106110,4.75%
223,Great Lakes,Michigan,MBS,Saginaw,MBS International,P,N,110964,122469,-9.39%
224,New England,New Hampshire,PSM,Portsmouth,Portsmouth International at Pease,P,N,105077,73247,43.46%
225,Northwest Mountain,Montana,HLN,Helena,Helena Regional,P,N,103773,103239,0.52%
226,Eastern,West Virginia,HTS,Huntington,Tri-State/Milton J Ferguson Field,P,N,103724,98489,5.32%
227,Southwest,New Mexico,SAF,Santa Fe,Santa Fe Municipal,P,N,103679,71252,45.51%
228,Northwest Mountain,Utah,SGU,St. George,St George Regional,P,N,103569,78680,31.63%
229,Southwest,Louisiana,MLU,Monroe,Monroe Regional,P,N,103547,102342,1.18%
230,Great Lakes,Ohio,TOL,Toledo,Toledo Express,P,N,102988,92522,11.31%
231,Great Lakes,Illinois,CMI,Savoy,University of Illinois-Willard,P,N,100133,89318,12.11%
232,Western Pacific,California,BFL,Bakersfield,Meadows Field,P,N,99472,100433,-0.96%
233,Eastern,New York,ITH,Ithaca,Ithaca Tompkins Regional,P,N,97212,88692,9.61%
234,Northwest Mountain,Wyoming,CPR,Casper,Casper/Natrona County International,P,N,96843,92805,4.35%
235,Northwest Mountain,Colorado,HDN,Hayden,Yampa Valley,P,N,96403,107339,-10.19%
236,Western Pacific,California,SCK,Stockton,Stockton Metropolitan,P,N,96201,93076,3.36%
237,Alaskan,Alaska,ENA,Kenai,Kenai Municipal,P,N,92973,92485,0.53%
238,Great Lakes,Wisconsin,LSE,La Crosse,La Crosse Regional,P,N,92101,94047,-2.07%
239,Great Lakes,Illinois,SPI,Springfield,Abraham Lincoln Capital,P,N,92048,93269,-1.31%
240,Northwest Mountain,Utah,PVU,Provo,Provo Municipal,P,N,91581,78451,16.74%
241,Southwest,Texas,LRD,Laredo,Laredo International,P,N,91462,101115,-9.55%
